Name,HDFC_ID,Category
BAJAJ CAPITAL INSURANCE BROKING LIMITED,3008,A
CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED,3022,A
FUTURE GENERALI INDIA INSURANCE COMPANY LIMITED,3043,A
INDIAN IMMUNOLOGICALS LIMITED,3052,A
LANXESS INDIA PRIVATE LIMITED,3061,A
RPG LIFE SCIENCES LIMITED,3084,A
SAMSARA SHIPPING PRIVATE LIMITED,3086,A
SAURASHTRA CEMENT LIMITED,3088,A
SHALIMAR PAINTS LTD,3089,A
MILACRON INDIA PRIVATE LIMITED,1475,A
AARTI INDUSTRIES LTD,53,A
AGRO TECH FOODS LIMITED,65,A
AHLUWALIA CONTRACTS INDIA LIMITED,66,A
ALFA LAVAL INDIA PRIVATE LIMITED,75,A
ALLCARGO LOGISTICS LIMITED,78,A
RELIANCE GLOBALCOM MANAGEMENT PRIVATE LIMITED,435,A
RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED,438,A
RELIANCE PETRO MARKETING LIMITED,445,A
ANABOND LTD,3884,A
ANDRITZ TECHNOLOGIES PRIVATE LIMITED,3892,A
ANKUR SEEDS PRIVATE LIMITED,3900,A
CADENCE DESIGN SYSTEMS INDIA PRIVATE LIMITED,3575,A
TATA PETRODYNE LIMITED,1623,A
TEJAS NETWORKS LIMITED,1629,A
THE SOUTH INDIAN BANK LIMITED,1634,A
DUN ANDBRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,487,A
EIMCO ELECON INDIA  LIMITED,518,A
EMERSON CLIMATE TECHNOLOGIES INDIA PRIVATE LIMITED,541,A
EPSON INDIA PRIVATE LIMITED,552,A
A K CAPITAL SERVICES LIMITED,3442,A
AARTI STEELS LIMITED,3467,A
A B GRAIN SPIRITS PRIVATE LIMITED,3468,A
BIMETAL BEARINGS LIMITED,3325,A
CHEMINOVA INDIA LIMITED,3694,A
AGRAWAL METAL WORKS PRIVATE LIMITED,3637,A
AGROCEL INDUSTRIES PRIVATE LIMITED,3640,A
GMMCO LTD,1534,A
GOODRICH AEROSPACE SERVICES PRIVATE LIMITED,1541,A
GULSHAN POLYOLS LIMITED,1543,A
HAIER APPLIANCES INDIA PRIVATE LIMITED,1546,A
HEADSTRONG SERVICES INDIA PRIVATE LIMITED,1550,A
HSBC SOFTWARE DEVELOPMENT INDIA PVT LTD,1572,A
HUAWEI TECHNOLOGIES INDIA PRIVATE LIMITED,1573,A
HYPER QUALITY INDIA PRIVATE LIMITED.,1575,A
INDIAN ENERGY EXCHANGE LIMITED,1603,A
INDIAN SYNTHETIC RUBBER PRIVATE LIMITED,1606,A
ZYDUS HOSPIRA ONCOLOGY PRIVATE LIMITED,1633,A
ESAB INDIA LIMITED,723,A
ESSAR EXPLORATION AND  PRODUCTION INDIA LIMITED,724,A
KOKUYO CAMLIN LIMITED,2070,A
COMPUTER AGE MANAGEMENT SERVICES PRIVATE LIMITED,2071,A
CAPARO ENGINEERING INDIA LIMITED,2073,A
CG MARKETING PRIVATE LIMITED,2088,A
CHARAK PHARMA PRIVATE LIMITED,2090,A
CIENA INDIA PRIVATE LIMITED,2096,A
CLARIS LIFESCIENCES LIMITED,2100,A
CREDIT SUISSE SERVICES INDIA PRIVATE LIMITED,2113,A
NSEIT LIMITED,2116,A
INDUSIND MEDIA AND COMMUNICATIONS LIMITED,3345,A
INTERNATIONAL CARGO TERMINALS AND INFRASTRUCTURE PRIVATE LTD,3375,A
AKSHARCHEM INDIA LIMITED,3677,A
ALKYL AMINES CHEMICALS LIMITED,3744,A
CASBY LOGISTICS PRIVATE LIMITED,3583,A
JINDAL DRILLING AND INDUSTRIES LIMITED,3567,A
WELSPUN GLOBAL BRANDS LIMITED,1647,A
STRYKER GLOBAL TECHNOLOGY CENTER PRIVATE LIMITED,2464,A
SUN DIRECT TV PRIVATE LIMITED,2467,A
CYBERABAD CONVENTION CENTRE PRIVATE LIMITED,2436,A
DELOITTE CONSULTING INDIA PRIVATE LIMITED,2445,A
DHL EXPRESS INDIA PVT LTD,2450,A
DIMEXON DIAMONDS LIMITED,2454,A
ELECTRONICA MACHINE TOOLS LIMITED,2476,A
NUCLEUS SOFTWARE EXPORTS LIMITED,2118,A
OMEGA HEALTHCARE MANAGEMENT SERVICES PRIVATE LIMITED,2123,A
OTIS ELEVATOR CO INDIA LTD,2133,A
PARKSONS PACKAGING LIMITED,2140,A
PC SOLUTIONS PRIVATE LIMITED,2141,A
PEGASYSTEMS WORLDWIDE INDIA PRIVATE LIMITED,2143,A
PERSISTENT SYSTEMS LIMITED,2149,A
PIRAMAL GLASS LIMITED,2155,A
PJL CLOTHING INDIA LIMITED,2157,A
POLYCAB WIRES PRIVATE LIMITED,2160,A
PRANA STUDIOS PRIVATE LIMITED,2163,A
PROTHIOUS ENGINEERING SERVICES PRIVATE LIMITED,2172,A
